iter	Passed	Remaining
389	3851	7999
390	3859	7985
391	3869	7975
392	3877	7962
393	3887	7952
394	3895	7938
395	3906	7931
396	3914	7918
397	3922	7903
398	3930	7889
399	3937	7875
400	3945	7861
401	3953	7847
402	3960	7832
403	3968	7818
404	3975	7803
405	3982	7789
406	3990	7775
407	3998	7761
408	4008	7752
409	4016	7739
410	4024	7725
411	4032	7711
412	4039	7697
413	4046	7683
414	4054	7668
415	4062	7656
416	4072	7647
417	4083	7640
418	4094	7631
419	4104	7622
420	4122	7628
421	4136	7626
422	4148	7619
423	4160	7613
424	4179	7621
425	4193	7618
426	4204	7611
427	4217	7606
428	4228	7598
429	4238	7589
430	4248	7579
431	4258	7570
432	4268	7560
433	4278	7550
434	4287	7539
435	4298	7532
436	4309	7524
437	4319	7514
438	4330	7506
439	4341	7498
440	4352	7491
441	4365	7485
442	4376	7478
443	4389	7474
444	4401	7467
445	4417	7467
446	4433	7467
447	4450	7470
448	4475	7486
449	4506	7510
450	4517	7502
451	4532	7501
452	4545	7496
453	4558	7490
454	4567	7478
455	4629	7553
456	4677	7605
457	4716	7641
458	4745	7661
459	4766	7668
460	4779	7662
461	4794	7658
462	4809	7656
463	4821	7648
464	4830	7635
465	4842	7627
466	4854	7619
467	4864	7608
468	4878	7604
469	4894	7601
470	4907	7595
471	4921	7590
472	4931	7579
473	4943	7571
474	4955	7563
475	4966	7554
476	4978	7546
477	4992	7540
478	5003	7531
479	5018	7528
480	5029	7517
481	5042	7511
482	5056	7505
483	5071	7501
484	5085	7496
485	5094	7484
486	5108	7479
487	5124	7477
488	5140	7474
489	5154	7468
490	5167	7461
491	5188	7465
492	5211	7473
493	5235	7482
494	5247	7473
495	5259	7464
496	5273	7459
497	5285	7451
498	5297	7442
499	5307	7430
500	5318	7419
501	5329	7410
502	5341	7401
503	5353	7392
504	5365	7384
505	5376	7373
506	5387	7364
507	5399	7355
508	5411	7346
509	5422	7336
510	5432	7324
511	5442	7313
512	5451	7300
513	5459	7286
514	5468	7273
515	5476	7259
516	5484	7245
517	5493	7233
518	5504	7222
519	5513	7209
520	5521	7195
521	5528	7181
522	5536	7166
523	5544	7152
524	5551	7138
525	5563	7129
526	5574	7118
527	5585	7108
528	5596	7099
529	5607	7088
530	5616	7076
531	5625	7063
532	5634	7050
533	5644	7039
534	5653	7026
535	5662	7014
536	5672	7002
537	5683	6993
538	5693	6981
539	5703	6970
540	5710	6956
541	5718	6942
542	5728	6930
543	5738	6920
544	5748	6908
545	5757	6896
546	5768	6886
547	5777	6874
548	5786	6861
549	5796	6850
550	5806	6839
551	5816	6828
552	5826	6816
553	5836	6805
554	5845	6793
555	5854	6780
556	5863	6768
557	5872	6756
558	5881	6744
559	5892	6733
560	5902	6723
561	5911	6711
562	5922	6700
563	5932	6689
564	5941	6677
565	5951	6666
566	5960	6654
567	5969	6642
568	5980	6632
569	5990	6620
570	5999	6609
571	6009	6597
572	6019	6586
573	6029	6575
574	6038	6563
575	6048	6552
576	6059	6542
577	6072	6535
578	6082	6523
579	6091	6511
580	6099	6498
581	6107	6485
582	6115	6472
583	6124	6459
584	6131	6446
585	6139	6433
586	6149	6421
587	6158	6409
588	6166	6396
589	6175	6385
590	6184	6372
591	6193	6361
592	6201	6347
593	6209	6334
594	6218	6322
595	6227	6311
596	6237	6299
597	6247	6289
598	6255	6276
599	6263	6263
600	6270	6249
601	6277	6236
602	6285	6222
603	6292	6209
604	6300	6196
605	6307	6182
606	6314	6169
607	6322	6155
608	6329	6142
609	6337	6129
610	6345	6116
611	6352	6103
612	6361	6092
613	6372	6081
614	6380	6069
615	6391	6059
616	6401	6049
617	6411	6038
618	6420	6026
619	6429	6014
620	6438	6002
621	6450	5993
622	6460	5983
623	6469	5971
624	6478	5960
625	6489	5950
626	6499	5939
627	6509	5928
628	6519	5917
629	6528	5906
630	6537	5895
631	6547	5884
632	6556	5873
633	6566	5862
634	6576	5851
635	6585	5840
636	6595	5828
637	6604	5817
638	6612	5805
639	6624	5796
640	6648	5798
641	6667	5795
642	6678	5784
643	6687	5774
644	6697	5763
645	6707	5752
646	6716	5741
647	6724	5728
648	6733	5717
649	6742	5704
650	6749	5692
651	6757	5679
652	6766	5667
653	6773	5655
654	6781	5642
655	6789	5630
656	6798	5618
657	6807	5607
658	6815	5595
659	6823	5583
660	6831	5570
661	6839	5558
662	6846	5545
663	6854	5533
664	6862	5520
665	6871	5509
666	6881	5498
667	6890	5487
668	6899	5476
669	6908	5464
670	6916	5452
671	6923	5439
672	6930	5427
673	6938	5414
674	6945	5402
675	6952	5389
676	6960	5377
677	6968	5365
678	6975	5352
679	6983	5340
680	6990	5327
681	6998	5315
682	7005	5302
683	7012	5290
684	7020	5278
685	7028	5265
686	7035	5253
687	7042	5241
688	7050	5228
689	7057	5216
690	7065	5204
691	7072	5191
692	7079	5179
693	7088	5168
694	7095	5155
695	7104	5144
696	7111	5132
697	7119	5120
698	7126	5107
699	7134	5095
700	7141	5083
701	7149	5071
702	7156	5059
703	7164	5047
704	7171	5035
705	7179	5023
706	7186	5011
707	7193	4999
708	7202	4988
709	7210	4976
710	7218	4964
711	7225	4952
712	7232	4940
713	7240	4928
714	7247	4915
715	7254	4903
716	7261	4891
717	7269	4879
718	7276	4867
719	7283	4855
720	7291	4844
721	7298	4832
722	7307	4820
723	7314	4808
724	7321	4797
725	7329	4785
726	7337	4774
727	7345	4762
728	7353	4750
729	7360	4738
730	7371	4729
731	7379	4718
732	7387	4706
733	7394	4694
734	7401	4682
735	7409	4671
736	7416	4659
737	7423	4647
738	7432	4636
739	7439	4624
740	7447	4613
741	7454	4601
742	7461	4589
743	7468	4577
744	7476	4566
745	7484	4554
746	7492	4543
747	7500	4532
748	7507	4520
749	7515	4509
750	7522	4497
751	7530	4486
752	7537	4474
753	7545	4462
754	7552	4451
755	7560	4440
756	7567	4428
757	7575	4417
758	7582	4405
759	7589	4394
760	7597	4382
761	7604	4371
762	7612	4359
763	7619	4348
764	7627	4337
765	7636	4326
766	7644	4315
767	7651	4303
768	7659	4292
769	7667	4281
770	7674	4270
771	7682	4259
772	7689	4247
773	7697	4236
774	7705	4225
775	7712	4214
776	7720	4202
777	7727	4191
778	7734	4180
779	7742	4168
780	7749	4157
781	7756	4146
782	7764	4135
783	7771	4123
784	7779	4112
785	7787	4101
786	7794	4090
787	7801	4079
788	7808	4067
789	7816	4056
790	7823	4045
791	7830	4034
792	7838	4022
793	7845	4011
794	7853	4000
795	7860	3989
796	7868	3978
797	7875	3967
798	7882	3956
799	7890	3945
800	7898	3934
801	7905	3923
802	7912	3911
803	7919	3900
804	7927	3889
805	7934	3878
806	7942	3867
807	7949	3856
808	7956	3845
809	7964	3834
810	7971	3823
811	7978	3812
812	7986	3801
813	7993	3790
814	8001	3780
815	8009	3769
816	8016	3758
817	8024	3747
818	8031	3736
819	8039	3725
820	8046	3714
821	8053	3703
822	8061	3692
823	8068	3681
824	8076	3671
825	8084	3660
826	8091	3649
827	8099	3638
828	8106	3627
829	8114	3617
830	8121	3606
831	8128	3595
832	8136	3584
833	8143	3573
834	8150	3562
835	8158	3552
836	8165	3541
837	8172	3530
838	8180	3519
839	8188	3509
840	8195	3498
841	8202	3487
842	8212	3477
843	8220	3467
844	8227	3456
845	8235	3445
846	8242	3435
847	8249	3424
848	8257	3413
849	8264	3403
850	8272	3392
851	8280	3382
852	8287	3371
853	8296	3361
854	8303	3350
855	8310	3339
856	8317	3329
857	8325	3318
858	8333	3308
859	8340	3297
860	8349	3287
861	8356	3276
862	8364	3266
863	8371	3255
864	8378	3245
865	8386	3234
866	8393	3223
867	8400	3213
868	8408	3202
869	8416	3192
870	8424	3181
871	8431	3171
872	8438	3160
873	8446	3150
874	8453	3139
875	8460	3129
876	8468	3118
877	8476	3108
878	8483	3098
879	8491	3087
880	8498	3077
881	8505	3066
882	8513	3056
883	8520	3045
884	8529	3035
885	8536	3025
886	8544	3015
887	8551	3004
888	8559	2994
889	8566	2983
890	8573	2973
891	8581	2962
892	8588	2952
893	8595	2942
894	8603	2931
895	8610	2921
896	8618	2911
897	8625	2900
898	8632	2890
899	8640	2880
900	8647	2869
901	8654	2859
902	8662	2849
903	8669	2838
904	8677	2828
905	8684	2818
906	8691	2807
907	8699	2797
908	8706	2787
909	8714	2777
910	8721	2766
911	8728	2756
912	8736	2746
913	8743	2735
914	8751	2725
915	8759	2715
916	8766	2705
917	8773	2695
918	8781	2685
919	8788	2674
920	8795	2664
921	8803	2654
922	8810	2644
923	8818	2633
924	8825	2623
925	8832	2613
926	8839	2603
927	8847	2593
928	8854	2582
929	8861	2572
930	8869	2562
931	8877	2552
932	8885	2542
933	8893	2532
934	8900	2522
935	8908	2512
936	8915	2502
937	8922	2492
938	8929	2482
939	8938	2472
940	8946	2462
941	8954	2452
942	8962	2442
943	8969	2432
944	8976	2422
945	8984	2412
946	8991	2402
947	8998	2392
948	9006	2382
949	9013	2372
950	9021	2361
951	9028	2351
952	9035	2341
953	9043	2331
954	9050	2321
955	9059	2312
956	9068	2302
957	9077	2293
958	9087	2283
959	9098	2274
960	9108	2265
961	9117	2255
962	9126	2246
963	9136	2236
964	9147	2227
965	9157	2218
966	9167	2208
967	9176	2199
968	9186	2189
969	9195	2180
970	9205	2170
971	9216	2161
972	9228	2152
973	9237	2143
974	9247	2133
975	9257	2124
976	9266	2114
977	9275	2105
978	9285	2096
979	9295	2086
980	9304	2077
981	9314	2067
982	9326	2058
983	9337	2049
984	9347	2040
985	9357	2030
986	9367	2021
987	9376	2012
988	9386	2002
989	9397	1993
990	9405	1983
991	9413	1973
992	9422	1964
993	9431	1954
994	9438	1944
995	9446	1934
996	9453	1924
997	9462	1915
998	9469	1905
999	9477	1895
1000	9486	1885
1001	9495	1876
1002	9503	1866
1003	9511	1856
1004	9518	1846
1005	9529	1837
1006	9543	1829
1007	9557	1820
1008	9567	1811
1009	9577	1801
1010	9587	1792
1011	9596	1782
1012	9606	1773
1013	9613	1763
1014	9621	1753
1015	9628	1743
1016	9636	1734
1017	9644	1724
1018	9652	1714
1019	9659	1704
1020	9666	1694
1021	9674	1684
1022	9682	1675
1023	9689	1665
1024	9697	1655
1025	9705	1645
1026	9714	1636
1027	9723	1626
1028	9732	1617
1029	9741	1607
1030	9751	1598
1031	9761	1589
1032	9772	1579
1033	9781	1570
1034	9790	1560
1035	9801	1551
1036	9811	1542
1037	9821	1532
1038	9832	1523
1039	9841	1514
1040	9850	1504
1041	9859	1495
1042	9868	1485
1043	9877	1476
1044	9887	1466
1045	9895	1456
1046	9906	1447
1047	9915	1438
1048	9924	1428
1049	9935	1419
1050	9944	1409
1051	9954	1400
1052	9963	1390
1053	9973	1381
1054	9982	1372
1055	9991	1362
1056	10001	1353
1057	10010	1343
1058	10020	1334
1059	10029	1324
1060	10039	1315
1061	10048	1305
1062	10058	1296
1063	10066	1286
1064	10075	1277
1065	10084	1267
1066	10093	1258
1067	10102	1248
1068	10111	1239
1069	10119	1229
1070	10126	1219
1071	10134	1210
1072	10143	1200
1073	10151	1190
1074	10160	1181
1075	10168	1171
1076	10176	1162
1077	10184	1152
1078	10192	1142
1079	10200	1133
1080	10210	1123
1081	10219	1114
1082	10233	1105
1083	10243	1096
1084	10251	1086
1085	10258	1076
1086	10266	1067
1087	10273	1057
1088	10280	1047
1089	10288	1038
1090	10296	1028
1091	10303	1019
1092	10310	1009
1093	10319	999
1094	10326	990
1095	10335	980
